All statistics are based on contigs of size >= 1000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    minia.k51  minia.k61  abyss.k51  abyss.k81  abyss.m.k51  abyss.m.k81  spades-default  spades-ec-default  platanus
# contigs (>= 0 bp)         1673       1793       13347      4482       15528        5443         1214            903                401     
# contigs (>= 1000 bp)      34         33         76         75         75           76           227             208                10      
# contigs (>= 5000 bp)      7          8          11         8          12           10           34              36                 6       
# contigs (>= 10000 bp)     2          1          4          4          4            4            10              9                  3       
# contigs (>= 25000 bp)     0          0          0          0          0            0            2               2                  0       
# contigs (>= 50000 bp)     0          0          0          0          0            0            1               1                  0       
Total length (>= 0 bp)      478283     480058     1804947    1096994    2038744      1282225      1082364         961952             148712  
Total length (>= 1000 bp)   115871     108612     218622     218514     228725       225543       744591          722046             81903   
Total length (>= 5000 bp)   60325      62281      92434      79939      117616       94517        359168          372345             70523   
Total length (>= 10000 bp)  27630      16471      50481      52666      63859        51409        193792          187350             43971   
Total length (>= 25000 bp)  0          0          0          0          0            0            82567           82710              0       
Total length (>= 50000 bp)  0          0          0          0          0            0            57541           57541              0       
# contigs                   34         33         76         75         75           76           227             208                10      
Largest contig              16461      16471      15535      17795      20368        17797        57541           57541              17543   
Total length                115871     108612     218622     218514     228725       225543       744591          722046             81903   
GC (%)                      42.20      42.41      50.90      47.80      50.61        49.11        44.69           44.71              42.18   
N50                         5046       5377       4072       4002       5561         3678         4712            5355               12142   
N75                         2694       2569       1944       1922       1802         1990         2067            2262               9069    
L50                         7          7          15         15         12           15           37              34                 3       
L75                         16         15         34         37         32           37           99              89                 5       
# N's per 100 kbp           0.00       0.00       332.99     221.95     240.03       110.84       169.22          171.18             0.00    
